Animal_ID,Pop_ID,spa,most_affluent_pop
APPgoat1,11,3.12,23
APPgoat10,11,6.25,23
APPgoat11,11,6.25,23
APPgoat12,11,6.25,23
APPgoat13,11,6.25,23
APPgoat14,11,6.25,23
APPgoat15,11,6.25,23
APPgoat16,11,3.12,23
APPgoat17,11,12.5,23
APPgoat18,11,3.12,23
APPgoat19,11,9.38,23
APPgoat2,11,3.12,23
APPgoat20,11,3.12,23
APPgoat21,11,9.38,23
APPgoat22,11,3.12,23
APPgoat23,11,6.25,23
APPgoat24,6,7.14,5
APPgoat25,6,14.29,5
APPgoat26,6,16.67,5
APPgoat27,12,0.0,19
APPgoat28,12,0.0,19
APPgoat29,12,0.0,19
APPgoat3,11,6.25,23
APPgoat4,11,3.12,23
APPgoat5,11,9.38,23
APPgoat6,11,12.5,23
APPgoat7,11,6.25,23
APPgoat8,11,6.25,23
APPgoat9,11,3.12,23
BLZ07439,18,20.83,16
BLZ08130,18,29.17,16
BLZ10920,18,25.0,16
BLZ22430,18,16.67,16
BLZ24630,18,20.83,16
BLZ32530,18,25.0,16
BLZ39630,18,29.17,16
BLZ44330,18,37.5,16
BLZ46330,18,29.17,16
BLZ54803,18,4.17,16
BLZ56220,18,29.17,16
BLZ57230,18,12.5,16
BLZ60630,18,29.17,16
BLZ61930,18,20.83,16
BLZ62130,18,12.5,16
BLZ63120,18,12.5,16
BLZ63230,18,20.83,16
BLZ66130,18,29.17,16
BLZ67230,18,33.33,16
BLZ68330,18,45.83,16
BLZ69430,18,25.0,16
BLZ73320,18,12.5,16
BLZ73620,18,20.83,16
BLZ75920,18,8.33,16
BLZ76930,18,8.33,16
BLZ78630,18,12.5,16
BLZ82130,18,20.83,16
BLZ85830,18,25.0,16
BLZ86820,18,16.67,16
BLZ88730,18,37.5,16
BLZ89330,18,29.17,16
BLZ90530,18,12.5,16
BLZ92998,18,20.83,16
BLZ97830,18,20.83,16
CHAgoat116,3,9.38,23
CHAgoat117,3,6.25,23
CHAgoat118,3,12.5,23
CHAgoat119,3,9.38,23
CHAgoat120,3,3.12,23
CHAgoat121,3,0.0,23
CHAgoat122,3,3.12,23
CHAgoat123,6,9.52,5
CHAgoat124,6,2.38,5
CHAgoat125,6,2.38,5
CHAgoat126,6,11.9,5
CHAgoat127,6,9.52,5
CHAgoat128,6,9.52,5
CHAgoat129,6,16.67,5
CHAgoat130,12,0.0,19
CHAgoat131,12,4.55,19
CHAgoat132,12,4.55,19
CHAgoat133,12,0.0,19
CHAgoat134,12,4.55,19
CHAgoat135,12,4.55,19
