Animal_ID,Pop_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FR_ALP0161,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,1,1,0,0
FR_ALP0190,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
FR_ALP0191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0
FR_ALP0192,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0
FR_ALP0193,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,1
FR_ALP0194,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,1,0,1,0
FR_ALP0195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
FR_ALP0196,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,2
FR_ALP0197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
FR_ALP0198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0
FR_ALP0199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
FR_ALP0200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,0
FR_ALP0201,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,2,2
FR_ALP0202,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,1
FR_ALP0203,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0
FR_ALP0204,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2
FR_ALP0205,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1
FR_ALP0206,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
FR_ALP0207,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
FR_ALP0208,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,1,0,1
FR_ALP0212,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
FR_ALP0209,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FR_ALP0210,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,1
FR_ALP0211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
FR_ALP0189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0
